REF_DATE,GEO,VALUE
2000-01,Canada,140.9
2000-02,Canada,164.1
2000-03,Canada,162.3
2000-04,Canada,152.2
2000-05,Canada,141.1
2000-06,Canada,134.2
2000-07,Canada,171.3
2000-08,Canada,147.4
2000-09,Canada,160.9
2000-10,Canada,165.3
2000-11,Canada,152.6
2000-12,Canada,142.8
2001-01,Canada,167
2001-02,Canada,153.4
2001-03,Canada,153.7
2001-04,Canada,161.1
2001-05,Canada,153.6
2001-06,Canada,180.1
2001-07,Canada,148.2
2001-08,Canada,165.6
2001-09,Canada,157.7
2001-10,Canada,166
2001-11,Canada,169.7
2001-12,Canada,181
2002-01,Canada,218.2
2002-02,Canada,187
2002-03,Canada,214.8
2002-04,Canada,186.8
2002-05,Canada,209
2002-06,Canada,203.3
2002-07,Canada,199.8
2002-08,Canada,213.8
2002-09,Canada,198.4
2002-10,Canada,217.1
2002-11,Canada,214.7
2002-12,Canada,201
2003-01,Canada,192.8
2003-02,Canada,261.9
2003-03,Canada,208.8
2003-04,Canada,205.8
2003-05,Canada,196
2003-06,Canada,207.9
2003-07,Canada,224.9
2003-08,Canada,228.5
2003-09,Canada,230.6
2003-10,Canada,243.3
2003-11,Canada,214.6
2003-12,Canada,218.9
2004-01,Canada,209.4
2004-02,Canada,223.9
2004-03,Canada,250.1
2004-04,Canada,231.5
2004-05,Canada,231.8
2004-06,Canada,233.1
2004-07,Canada,223.3
2004-08,Canada,254.6
2004-09,Canada,235.9
2004-10,Canada,229
2004-11,Canada,240.1
2004-12,Canada,229.7
2005-01,Canada,199.8
2005-02,Canada,214.8
2005-03,Canada,212.8
2005-04,Canada,240.1
2005-05,Canada,224.2
2005-06,Canada,233.6
2005-07,Canada,243.8
2005-08,Canada,209.8
2005-09,Canada,234.7
2005-10,Canada,212
2005-11,Canada,227.4
2005-12,Canada,234.7
2006-01,Canada,239.5
2006-02,Canada,248.9
2006-03,Canada,253.8
2006-04,Canada,227.4
2006-05,Canada,222.9
2006-06,Canada,235.9
2006-07,Canada,234.8
2006-08,Canada,211.1
2006-09,Canada,201.1
2006-10,Canada,223.7
2006-11,Canada,230.1
2006-12,Canada,220.2
2007-01,Canada,258.8
2007-02,Canada,201.5
2007-03,Canada,215.1
2007-04,Canada,221.7
2007-05,Canada,235.6
2007-06,Canada,226.5
2007-07,Canada,218.5
2007-08,Canada,231.6
2007-09,Canada,273
2007-10,Canada,225.5
2007-11,Canada,237.2
2007-12,Canada,189.9
2008-01,Canada,221
2008-02,Canada,260.3
2008-03,Canada,253.4
2008-04,Canada,231.6
2008-05,Canada,233.2
2008-06,Canada,216.7
2008-07,Canada,193.8
2008-08,Canada,213.6
2008-09,Canada,209
2008-10,Canada,197.3
2008-11,Canada,165
2008-12,Canada,156.1
2009-01,Canada,141.3
2009-02,Canada,126.1
2009-03,Canada,148.4
2009-04,Canada,120.4
2009-05,Canada,129.9
2009-06,Canada,141.4
2009-07,Canada,140.5
2009-08,Canada,157.8
2009-09,Canada,152.4
2009-10,Canada,167.2
